Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
0.00,1.00,1.00,1.00,0.00,67.70,38.83,11.31,18.97,1.00
0.00,1.00,0.00,1.00,1.00,54.77,0.00,8.12,18.97,1.00
0.00,1.00,0.00,0.00,0.00,50.82,48.56,10.95,18.97,1.00
0.00,0.00,0.00,1.00,0.00,77.46,0.00,11.87,18.97,1.00
0.00,1.00,1.41,1.00,1.00,73.60,64.78,16.34,18.97,1.00
0.00,1.00,0.00,0.00,0.00,48.30,38.94,9.75,18.97,1.00
0.00,1.00,1.73,1.00,0.00,55.10,50.04,12.57,18.97,0.00
0.00,1.00,1.41,1.00,0.00,63.29,39.06,12.96,18.97,1.00
0.00,1.00,1.00,1.00,0.00,113.32,104.73,18.68,18.97,1.00
0.00,1.00,1.41,1.00,0.00,56.57,26.46,8.37,18.97,1.00
0.00,1.00,1.41,1.00,0.00,50.00,42.90,10.44,18.97,1.00
0.00,1.00,1.41,1.00,0.00,55.43,90.03,14.14,18.97,1.00
0.00,0.00,0.00,1.00,0.00,43.05,53.29,10.68,18.97,1.00
0.00,1.00,1.41,1.00,0.00,36.04,32.95,4.12,10.95,1.00
0.00,0.00,0.00,1.00,0.00,70.36,0.00,11.18,18.97,1.00
0.00,0.00,1.00,0.00,0.00,59.97,0.00,10.00,15.49,0.00
1.00,0.00,0.00,1.00,0.00,59.25,0.00,8.72,18.97,0.00
0.00,1.00,0.00,0.00,0.00,69.91,0.00,11.53,18.97,1.00
0.00,1.00,0.00,1.00,0.00,50.99,59.16,10.72,18.97,1.00
0.00,1.00,0.00,0.00,0.00,87.52,0.00,10.20,18.97,0.00
0.00,1.00,1.00,1.00,0.00,77.17,75.00,17.75,18.97,1.00
0.00,1.00,0.00,0.00,0.00,50.99,43.71,10.77,18.97,0.00
1.00,1.00,1.41,0.00,0.00,58.01,43.78,10.58,18.97,0.00
0.00,1.00,1.00,1.00,0.00,60.97,54.08,12.29,18.97,0.00
0.00,1.00,0.00,1.00,1.00,97.78,0.00,13.82,18.97,1.00
0.00,1.00,0.00,1.00,0.00,52.91,47.47,11.05,18.97,1.00
0.00,1.00,1.41,0.00,0.00,65.01,32.25,10.49,18.97,1.00
0.00,0.00,0.00,0.00,0.00,37.97,0.00,5.92,18.97,1.00
1.00,0.00,1.41,1.00,0.00,61.24,45.64,10.95,18.97,1.00
0.00,1.00,1.00,1.00,0.00,64.54,58.04,14.18,18.97,0.00
0.00,0.00,0.00,1.00,0.00,56.28,0.00,8.60,18.97,1.00
0.00,0.00,1.00,1.00,1.00,68.50,0.00,10.30,18.97,1.00
0.00,1.00,0.00,1.00,0.00,59.16,40.83,10.68,18.97,1.00
0.00,0.00,1.73,1.00,0.00,111.80,54.77,17.89,18.97,1.00
0.00,1.00,0.00,1.00,0.00,42.76,36.47,10.00,18.97,0.00
1.00,1.00,0.00,1.00,0.00,60.56,38.20,12.00,18.97,1.00
0.00,0.00,0.00,1.00,0.00,64.54,84.91,13.56,18.97,1.00
0.00,0.00,0.00,0.00,0.00,61.22,40.84,10.49,18.97,1.00
0.00,0.00,0.00,1.00,0.00,60.00,0.00,8.94,18.97,1.00
0.00,0.00,0.00,1.00,0.00,42.43,34.83,6.86,18.97,1.00
0.00,1.00,0.00,1.00,0.00,48.99,0.00,8.66,18.97,0.00
0.00,1.00,0.00,1.00,0.00,62.78,48.33,11.58,18.97,1.00
0.00,1.00,0.00,0.00,1.00,68.52,0.00,9.80,18.97,1.00
1.00,0.00,0.00,1.00,0.00,58.40,0.00,9.38,18.97,1.00
0.00,1.00,1.00,1.00,0.00,75.16,0.00,6.63,18.97,1.00
0.00,1.00,0.00,1.00,0.00,76.30,0.00,12.00,18.97,1.00
1.00,1.00,0.00,1.00,0.00,51.43,58.65,10.95,18.97,0.00
1.00,0.00,0.00,1.00,0.00,63.25,47.70,12.00,18.97,1.00
1.00,1.00,0.00,0.00,0.00,43.91,40.55,10.00,18.97,1.00
1.00,0.00,0.00,1.00,0.00,55.55,0.00,10.95,18.97,1.00
1.00,0.00,0.00,1.00,0.00,65.04,0.00,10.58,18.97,1.00
0.00,1.00,1.41,1.00,0.00,67.94,0.00,11.58,18.97,1.00
1.00,1.00,1.00,1.00,1.00,107.24,0.00,16.91,18.97,0.00
0.00,1.00,1.41,1.00,0.00,52.04,34.16,9.85,18.97,1.00
0.00,1.00,0.00,1.00,0.00,46.17,39.89,9.80,18.97,1.00
0.00,1.00,0.00,1.00,0.00,58.02,46.90,11.62,18.97,1.00
0.00,1.00,1.00,1.00,0.00,89.89,47.43,13.42,18.97,1.00
0.00,1.00,1.41,0.00,0.00,57.94,53.47,12.00,18.97,1.00
0.00,1.00,0.00,1.00,0.00,50.00,61.61,10.95,18.97,1.00
0.00,1.00,1.73,1.00,0.00,55.04,0.00,9.95,18.97,1.00
